Ontology	TCCA	AVG_CCA	MAX_CCA	MIN_CCA	STD_CCA	ENT_CCA	TWCCA	AVG_WCCA	MAX_WCCA	MIN_WCCA	STD_WCCA	ENT_WCCA	TCCA_WO	AVG_CCA_WO	MAX_CCA_WO	MIN_CCA_WO	STD_CCA_WO	ENT_CCA_WO	TWCCA_WO	AVG_WCCA_WO	MAX_WCCA_WO	MIN_WCCA_WO	STD_WCCA_WO	ENT_WCCA_WO	TOPCA	AVG_OPCA	MAX_OPCA	MIN_OPCA	STD_OPCA	ENT_OPCA	TWOPCA	AVG_WOPCA	MAX_WOPCA	MIN_WOPCA	STD_WOPCA	ENT_WOPCA	TDPCA	AVG_DPCA	MAX_DPCA	MIN_DPCA	STD_DPCA	ENT_DPCA	TWDPCA	AVG_WDPCA	MAX_WDPCA	MIN_WDPCA	STD_WDPCA	ENT_WDPCA
approximated_131ebd63-ee85-43a3-aed7-f88164a47e60_nAtmoCloud.owl_functional.owl	8121.000000000001	2.4026627218934915	12.333333333333334	1.0	0.8418067104677492	11.64890018879581	11322.000000000007	3.3497041420118365	225.0	1.0	9.502496034144796	10.72205460031905	3796.6666666666692	1.123274161735701	3.0	1.0	0.34893101962891737	11.66606095540497	5004.666666666666	1.480670611439842	84.0	1.0	3.2999892132168775	10.967571858951333	894.0	1.890063424947146	13.0	1.0	0.8431834598286772	8.77856619922193	1257.0	2.6575052854122623	74.0	1.0	5.290007304901642	8.077462663370191	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
approximated_5b493be1-de5f-4bf8-b766-24079ab81854_cryo.owl_functional.owl	5497.000000000005	2.395206971677562	9.0	1.0	0.7407274124137152	11.103551848582027	5875.333333333338	2.560058097313001	74.0	1.0	2.923351074078078	10.91422806260422	2513.0	1.0949891067538127	3.0	1.0	0.2998935801361522	11.120234154854169	2670.0	1.1633986928104576	37.0	1.0	1.2525941015110904	10.952046820143257	317.0	1.8218390804597702	6.0	1.0	0.8286431628549656	7.307319116787825	493.0	2.8333333333333335	85.0	1.0	7.73637722497099	6.190416058821736	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
approximated_debc1f89-53f3-48f7-a8fc-38db277e47ce_rDataModel.owl_functional.owl	8227.0	2.398542274052478	12.333333333333334	1.0	0.8372548043823741	11.670691299737536	11428.000000000007	3.331778425655979	225.0	1.0	9.434214495866263	10.750761055902334	3846.3333333333367	1.121379980563655	3.0	1.0	0.34640030568595725	11.687931332967233	5054.333333333333	1.4735665694849367	84.0	1.0	3.276334488611653	10.994972961545074	902.0	1.8909853249475892	13.0	1.0	0.8421934485711009	8.790808636186952	1707.0	3.5786163522012577	180.0	1.0	12.966195516718148	7.231863492353792	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
approximated_ac1fae27-a56b-4713-b1f8-6dcdde27aae8_oordinates.owl_functional.owl	5062.333333333335	2.3867672481533875	9.0	1.0	0.7314685406328498	10.990954591079369	5436.66666666667	2.563256325632565	74.0	1.0	3.0304466145745246	10.786583639269269	2315.9999999999995	1.0919377652050917	2.6666666666666665	1.0	0.2925417238176289	11.008245051124675	2470.9999999999995	1.1650165016501648	37.0	1.0	1.29785821988337	10.826922244633135	313.0	1.8304093567251463	6.0	1.0	0.8309857154775011	7.282596123186777	492.0	2.8771929824561404	85.0	1.0	7.75970286878825	6.180617047976059	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
00b86bdc-e16b-46bf-93fb-9cde6849dcc8_onto.rdf_functional.owl	52.0	1.7333333333333334	2.0	1.0	0.44221663871405326	4.854285871987245	123.0	4.1	32.0	1.0	5.752390807307862	4.145448651539988	30.0	1.0	1.0	1.0	0.0	4.906890595608519	85.0	2.8333333333333335	32.0	1.0	5.610010893235611	3.7532210830692625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	1.0	1.0	1.0	0.0	2.8073549220576046	105.0	15.0	32.0	2.0	14.726070176973314	2.040389446216947	
approximated_50261e1a-1d2d-4997-9d9e-4f40bf0e34ad_etourism.owl_functional.owl	289.0	3.36046511627907	4.0	1.0	1.1197257834748977	6.32717481744878	559.0	6.5	68.0	1.0	10.091154312011941	5.618983105345868	151.0	1.755813953488372	2.0	1.0	0.42960356283514334	6.377477587007191	323.0	3.755813953488372	34.0	1.0	6.011492958766039	5.5162314706750575	107.0	1.202247191011236	2.0	1.0	0.4016755714993144	6.405018388270298	315.0	3.539325842696629	38.0	1.0	7.522335550198594	4.934961599448876	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
approximated_7407e96a-be14-487c-a01a-3594df24e36c_yDocumentation_functional.owl	127.00000000000004	3.432432432432434	4.666666666666667	1.0	1.4984774352031476	5.046314896281917	242.99999999999991	6.567567567567565	70.0	1.0	11.826540332888344	4.172757268633973	67.00000000000001	1.8108108108108112	2.3333333333333335	1.0	0.6079579394163239	5.120708866634925	140.0	3.7837837837837838	35.0	1.0	7.143831718967505	4.060249060801598	46.0	1.7037037037037037	2.0	1.0	0.45662325947918336	4.697474999535273	84.0	3.111111111111111	39.0	1.0	7.051836290054417	3.485999725926051	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
approximated_3ba51b84-d0d8-47b2-bb62-196c226ad31e_scillation.owl_functional.owl	4991.000000000003	2.398366170110525	9.0	1.0	0.7408937809715602	10.962338105414029	5365.333333333336	2.5782476373538374	74.0	1.0	3.059238387286816	10.755868802125471	2278.666666666666	1.0949863847509207	2.6666666666666665	1.0	0.29753460618512323	10.979524527848652	2433.666666666666	1.1694698061829245	37.0	1.0	1.3105555362977364	10.795804357116591	313.0	1.8304093567251463	6.0	1.0	0.8309857154775011	7.282596123186777	492.0	2.8771929824561404	85.0	1.0	7.75970286878825	6.180617047976059	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
approximated_5da8b418-594a-4c3d-ba17-02fc8e72d100_DP1.66.owl_functional.owl	81.0	1.08	2.0	1.0	0.27129319932501084	6.191701854736468	1523.0	20.30666666666667	206.0	1.0	31.97831487464938	5.236822630403341	75.0	1.0	1.0	1.0	0.0	6.228818690495891	1403.0	18.706666666666667	206.0	1.0	31.125455105998945	5.216600963201175	11.0	1.5714285714285714	2.0	1.0	0.4948716593053935	2.7321588913645702	11.0	1.5714285714285714	2.0	1.0	0.4948716593053935	2.7321588913645702	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
approximated_f1395437-68d1-4c5a-8615-b7714be541fb_reprSciLaw.owl_functional.owl	9434.333333333334	2.393285980043971	12.0	1.0	0.8451217730123384	11.870149678396844	12869.66666666666	3.26475562320311	225.0	1.0	8.669977106550563	11.016984008385487	4369.333333333334	1.10840520886183	5.666666666666667	1.0	0.34386678319397496	11.891155387548109	5672.3333333333285	1.4389480805005908	84.0	1.0	3.14659254344897	11.225338990940646	470.0	1.8577075098814229	12.0	1.0	1.015448790666143	7.825203542199187	532.0	2.102766798418972	26.0	1.0	2.1772521965622698	7.621528736296564	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
approximated_dde79c88-9924-46c0-87cd-0105b70f996c_ndaryLayer.owl_functional.owl	9423.0	2.393446786893574	12.0	1.0	0.8442634034343581	11.868131008379244	12858.333333333327	3.2660231987130626	225.0	1.0	8.675273116931155	11.014357626519308	4366.0	1.1089662179324358	5.666666666666667	1.0	0.3443805418806589	11.88917912249738	5668.9999999999945	1.4399288798577583	84.0	1.0	3.14854126981058	11.223203997130463	476.0	1.837837837837838	12.0	1.0	1.0118777017782095	7.856756208577059	515.0	1.9884169884169884	26.0	1.0	1.9080860763522423	7.716490208998251	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
approximated_483bced0-f4b7-4dda-9146-dc885622e47e_closureids.owl_functional.owl	47.0	2.35	4.0	1.0	1.1521718621802912	4.1503335325287	74.0	3.7	16.0	1.0	3.3331666624997918	3.8917537034083156	26.0	1.3	2.0	1.0	0.4582575694955839	4.23890125660263	41.0	2.05	8.0	1.0	1.6575584454250776	3.9732864557848293	7.0	1.0	1.0	1.0	0.0	2.8073549220576046	35902.0	5128.857142857143	29877.0	1.0	10313.036914903547	0.6601591409212578	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
approximated_2c68bb2e-7ccf-4d01-bdfb-5f9007dce612_eDirection.owl_functional.owl	1111.6666666666665	2.268707482993197	5.666666666666667	1.0	0.662671983008324	8.883476813704533	1330.6666666666667	2.7156462585034014	74.0	1.0	4.645516220425045	8.397842217406204	529.0	1.079591836734694	2.6666666666666665	1.0	0.276462618511969	8.8984931326915	632.0	1.2897959183673469	37.0	1.0	2.218845321676402	8.414514353641776	167.0	1.8555555555555556	4.0	1.0	0.8635985578588021	6.346074277413307	301.0	3.3444444444444446	85.0	1.0	9.693252075669415	4.985184278778207	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
approximated_a9a11f8b-fab9-4901-99b0-9d9570eacf34_ctryflat.owl_functional.owl	227.99999999999997	2.5617977528089884	4.666666666666667	1.0	1.0805227218131506	6.3554766075837925	11398.666666666666	128.0749063670412	5865.999999999999	1.0	737.8481903088835	1.8510389359986723	115.0	1.2921348314606742	2.3333333333333335	1.0	0.4865743710108427	6.383633582259945	3053.0	34.30337078651685	1257.0	1.0	186.72468092900465	2.191669398515964	44.0	1.4193548387096775	2.0	1.0	0.493453501315431	4.868522527728205	2588.0	83.48387096774194	1257.0	1.0	308.18698460802943	1.2873686520559102	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
approximated_kb-owl-syntax-unraveled-depth-4-km-relevant-cardinalities-triggers-constant-classes-relation-axioms-value-nominals.ofn_functional.owl	31345.999999999956	3.359339834958735	39.666666666666664	1.0	3.2199950782547933	12.787036657992807	32773.999999999956	3.5123780945236263	306.0	1.0	4.846440926270464	12.705716809142103	12298.000000000011	1.317972350230416	2.3333333333333335	1.0	0.4701168236040162	13.102305740078263	13012.000000000011	1.3944914800128616	153.0	1.0	1.8858071828733307	12.963874771585724	329.0	1.1344827586206896	3.0	1.0	0.48336169228105297	8.085855361769365	329.0	1.1344827586206896	3.0	1.0	0.48336169228105297	8.085855361769365	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
efd20f6c-bf75-4329-ae3d-46719338ee19__v2.0_Lite.rdf_functional.owl	19.0	1.4615384615384615	2.0	1.0	0.498518515262143	3.6163485660751657	1404.0	108.0	1292.0	1.0	342.40529291379914	0.5279595043262463	13.0	1.0	1.0	1.0	0.0	3.7004397181410926	744.0	57.23076923076923	646.0	1.0	171.1792375288158	0.7298270595591008	20.0	1.3333333333333333	3.0	1.0	0.5962847939999437	3.7841837197791888	665.0	44.333333333333336	646.0	1.0	160.80326143735044	0.2923728512390197	8.0	1.1428571428571428	2.0	1.0	0.34992710611188266	2.75	1240.0	177.14285714285714	646.0	1.0	278.62182694286463	1.0486489956806428	
