"Ontology","SIZE (KB)","SOV","ENR","TIP","EOG","RCH","CYC","GCI","HGCI","ESUB","DSUB","CSUB","SUPECHN","SUBECHN","SUBCCHN","SUPDCHN","DSUPECHN","DSUBECHN","DSUBCCHN","DSUPDCHN","ELCLSPRT","ELAXPRT","HLC","RHLC","IHR","IIR","ITR","IND","aNOC","mNOC","tNOC","aCID","mCID","tCID","aCOD","mCOD","tCOD","aDIT","mDIT","tDIT","aNOP","mNOP","tNOP","ENUM","ENUMP","NEG","NEGP","CONJ","CONJP","DISJ","DISJP","UF","UFP","EF","EFP","VALUE","VALUEP","SELF","SELFP","MNCAR","MNCARP","MXCAR","MXCARP","CAR","CARP","OBP","OBPP","DTP","DTPP","FUN","FUNP","SYM","SYMP","TRN","TRNP","IFUN","IFUNP","ASYM","ASYMP","REFLE","REFLEP","IRREF","IRREFP","SUBP","EQVP","DISP","INV","DOMN","RANG","CHN","CHNP","ELPROP"
"approximated_07e27833-0331-44b7-ade8-e93de5c1ee2b_computers.owl_functional.owl_1_506_2436.owl","1659.0","2529","1.0167380303620086","41","0.25932175563232507","0.43478260869565216","43","40","0","0.4878048780487805","0.0","0.0","0","0","0","0","0","0","0","0","1.0","1.0","0","0.0","4","0","0","2436","0.8913043478260869","20","82","27.804347826086957","406","2558","1.8695652173913044","3","172","0.0","0","0","1.434782608695652","2","132","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","40","1.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","41","1.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","4","0","0","0","0","0","0","0.0","1.0"
"approximated_bf02bcd2-a1d7-4461-b3a3-45a0d6c704af_pingdb2owl.owl_functional.owl_1_6_593.owl","161.0","273","49.75170068027211","38","3.955046654747197","0.19444444444444445","14341","4","0","0.16071428571428573","0.0","0.0","22","43","0","0","3","3","0","0","0.9906542056074766","0.9910714285714286","15","0.02109704641350211","3","0","0","170","1.037037037037037","11","112","3.1296296296296298","56","338","1.5555555555555556","4","168","0.0","0","0","1.3425925925925926","4","145","1","0.0476","0","0.0000","2","0.0952","0","0.0000","0","0.0000","18","0.8571","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","16","1.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","6","0","0","0","0","0","0","0.0","1.0"
"738a62ec-d995-4d8b-badd-7e8ed6b818a2__documentation_functional.owl_1_238_957.owl","308.0","840","1.2261904761904763","0","1.4765479375910477","0.0","190","0","0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","1.0","1.0","0","0.0","0","0","0","777","0.72","13","18","21.2","254","530","1.48","3","37","0.0","0","0","0.96","1","24","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","14","0.4667","16","0.5333","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","19","0","0","0","24","6","0","0.0","1.0"
"approximated_12ef49dc-1f5f-4768-9442-7f738f366765_TRAIL.owl_functional.owl_1_184_2166.owl","447.0","866","2.588299024918743","65","3.097021163744328","0.5833333333333334","1478","54","0","0.6336633663366337","0.0","0.0","24","11","0","0","2","2","0","0","1.0","1.0","1","4.399472063352398E-4","71","0","0","769","1.0520833333333333","9","101","8.989583333333334","175","863","2.25","3","216","0.0","0","0","1.6666666666666667","3","160","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","56","1.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","58","1.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","6","0","0","0","0","0","1","0.017241379310344827","1.0"
"approximated_obsolete_RMOperators_addonsRM.owl_functional.owl_1_155_9102.owl","2635.0","4671","2.277829747427502","733","2.3939588397656726","0.44904891304347827","6844","149","0","0.4743672939649578","0.0","0.0","504","748","0","0","5","5","0","0","0.9218218898708361","0.8500973393900065","237","0.02200557103064067","968","0","0","3677","1.046875","35","1541","4.047554347826087","2689","5958","2.0591032608695654","24","3031","0.0","0","0","1.497282608695652","22","2204","115","0.1740","0","0.0000","0","0.0000","0","0.0000","0","0.0000","546","0.8260","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","196","1.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","127","0","0","0","0","0","23","0.11734693877551021","1.0"
"approximated_eba921b0-589b-4d65-9f4b-30414792fc23_esg.owl_functional.owl_1_133_1285.owl","401.0","1299","1.0521541950113378","22","0.7618107169196737","0.3793103448275862","69","22","0","0.5","0.0","0.0","0","0","0","0","0","0","0","0","1.0","1.0","0","0.0","2","0","0","1234","0.7586206896551724","26","44","21.982758620689655","692","1275","1.7413793103448276","3","101","0.0","0","0","1.3620689655172413","2","79","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","22","1.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","31","1.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","4","0","0","0","0","0","2","0.06451612903225806","1.0"
"00b86bdc-e16b-46bf-93fb-9cde6849dcc8_onto.rdf_functional.owl","28.0","190","0.9526315789473684","0","1.2686121281523697","0.0","0","0","0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","1.0","1.0","0","0.0","0","0","0","56","0.7586206896551724","17","22","2.6551724137931036","31","77","0.9655172413793104","1","28","0.0","0","0","0.9655172413793104","1","28","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","7","1.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0","0","0","0","0","0","0.0","0.0"
"dde3b23b-5c7d-4490-8f3f-22c73405841f_onto.rdf_functional.owl_1_1_118.owl","32.0","155","0.9419354838709677","0","1.4641404913865081","0.0","0","0","0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","1.0","1.0","0","0.0","0","0","0","55","0.7586206896551724","17","22","2.5517241379310347","29","74","0.9655172413793104","1","28","0.0","0","0","0.9655172413793104","1","28","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","5","1.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0","0","0","0","0","0","0.0","0.0"
"approximated_00032029-378f-4e16-83de-4c46f097ff97_BCR.owl_functional.owl_1_654_2471.owl","691.0","1870","1.397196261682243","64","2.1839820738516367","0.5789473684210527","777","54","0","0.63","0.0","0.0","0","0","0","0","0","0","0","0","1.0","1.0","0","0.0","145","0","0","1773","1.0526315789473684","9","100","9.74736842105263","225","926","2.2421052631578946","3","213","0.0","0","0","1.6631578947368422","3","158","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","55","1.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","58","1.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","6","0","0","0","0","0","1","0.017241379310344827","1.0"
"approximated_50261e1a-1d2d-4997-9d9e-4f40bf0e34ad_etourism.owl_functional.owl","88.0","282","1.7636887608069165","64","2.427703662551669","0.7558139534883721","271","64","0","0.8783783783783784","0.0","0.0","0","0","0","0","0","0","0","0","1.0","1.0","0","0.0","0","0","0","172","0.8604651162790697","16","74","3.616279069767442","64","311","2.488372093023256","3","214","0.0","0","0","1.7325581395348837","2","149","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","65","1.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","89","1.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0","0.0000","18","0","0","0","0","0","0","0.0","1.0"
